8.46292	0.243462	0	0	8.46292	0.243462	8.6	0.25	-3.00029	0
8.45473	0.24796	-0.163802	0.0899152	8.44818	0.251553	8.45	0.25	-3.00027	0
8.45948	0.252575	-0.032975	0.091063	8.56759	0.241943	8.45	0.25	0	0
8.45783	0.257121	-0.033007	0.090945	8.45582	0.253997	8.45	0.25	0	0
8.4206	0.261001	-0.461999	0.0774245	8.42544	0.254042	8.35	0.25	-1.81979	0
8.39493	0.265215	-0.466089	0.0769141	8.23962	0.24916	8.25	0.25	-1.81978	0
8.31982	0.267332	-1.14908	0.0541285	7.93286	0.188391	8.05	0.2	-3.99976	-0.99994
8.26181	0.269833	-1.1577	0.051382	7.84073	0.159858	7.85	0.15	-3.99972	-0.99993
8.172	0.271257	-1.57969	0.0362619	7.61269	0.155818	7.7	0.15	-2.99982	0
8.09229	0.272862	-1.591	0.0334572	7.54016	0.159641	7.55	0.15	-2.99982	0
7.99838	0.274292	-1.66696	0.028526	7.50815	0.0953827	7.45	0.100001	-1.8165	-0.908239
7.90561	0.27519	-1.6818	0.0204171	7.3426	0.0345312	7.35	0.0500011	-1.81648	-0.90823
7.79094	0.275202	-1.94861	0.00711867	7.20598	0.00492725	7.2	9.49949e-07	-2.72851	-0.909507
7.6827	0.274677	-1.96509	-0.00392084	7.05406	-0.0533413	7.05	-0.0499992	-2.72849	-0.909499
7.58	0.274113	-1.90111	-0.00805716	6.74585	-0.143185	6.95	-0.15	-1.81898	-1.81898
7.47438	0.272171	-1.91742	-0.0260314	6.84972	-0.258748	6.85	-0.25	-1.81896	-1.81897
7.37666	0.270211	-1.9424	-0.0346562	6.66966	-0.346668	6.75	-0.349999	-2.00076	-2.00075
7.27876	0.267074	-1.95529	-0.0531929	6.64329	-0.462604	6.65	-0.449999	-2.00076	-2.00075
7.19826	0.26423	-1.72584	-0.0555278	6.60862	-0.557035	6.6	-0.549999	-0.998836	-1.99769
7.11116	0.259682	-1.73701	-0.0788114	6.56029	-0.650892	6.55	-0.65	-0.99884	-1.99769
7.04243	0.254625	-1.41419	-0.0873762	6.40696	-0.842921	6.5	-0.85	-0.908747	-3.63498
6.96376	0.246099	-1.42719	-0.131742	6.45805	-1.05268	6.45	-1.05	-0.908739	-3.63494
